Väli,Soovitatud väärtus,Kindlus,Põhjendus
Välistavad tingimused,"• äriühing ei ole Eesti äriregistris;• põhivarainvesteering või abikõlblikud kulud jäävad alla 100 mln €;• investeeringu tulemusena ei looda vähemalt 30 uut töökohta;• avaliku sektori osalus taotlejas või kontserni äriühingus ületab 49%;• projektiga on alustatud või kohustused võetud enne taotluse esitamist;• sama äriühing või kontserni äriühing on juba selle määruse alusel toetust saanud;• taotleja on raskustes, maksevõlas, pankroti-/likvideerimismenetluses või kehtiva kriminaalkaristusega;• toetatavale tegevusele on saadud või taotletakse samal ajal muud toetust;• tegevus kuulub üldise grupierandi määruse välistuste alla;",kõrge,"Välistused tulenevad EISi lehe taotleja tingimustest ning määruse §-dest 2, 6, 9, 10 ja 12. (EIS)"
Kontrollkohad,"• kontrolli eelnõustamise läbimist ja positiivse eelhinnangu kehtivust;• kontrolli toetuse eelarve vaba jääki;• kontrolli, kas taotlemine on jätkuvalt jooksev või voorupõhine;• kontrolli investeeringu asukohta, sest Harjumaa ja väljaspool Harjumaad tingimused mõjutavad toetuse osakaalu;• kontrolli loodavate töökohtade arvu ja keskmise brutokuupalga nõuet;• kontrolli kinnisasja omandi-, rendi- või asjaõiguse tingimust;• kontrolli abikõlblikke kulusid ja käibemaksu/mitteabikõlblike kulude välistust;• kontrolli hindamisjuhendi kriteeriume ja miinimumhindeid;",kõrge,"Need tingimused on kas ajas muutuvad, sõltuvad projektist või vajavad taotlemisel dokumentaalset kontrolli. (Riigi Teataja)"
,,,
Ebaselged või kontrollimist vajavad kohad,,,
"Kogu toetussumma / meetme eelarve jäi antud allikates määramata; määrus ütleb, et EIS teavitab eelarvest veebilehel, kuid avatud lehe tekstis konkreetset eelarvet ei olnud.",,,
"Sektor on märgitud „kõik sektorid“ keskmise kindlusega, sest allikas ei anna sektoripiirangut, kuid regionaalabi ja üldise grupierandi määruse välistused võivad teatud tegevused välistada.",,,
"Valdkond on osaliselt tõlgenduslik, sest meede ei ole kitsalt innovatsiooni-, AI-, T&A- ega digitaliseerimismeede, vaid suuremahulise investeeringu toetus.",,,
"Omafinantseering vajab projekti tasandil kontrolli: üldjuhul tuleneb vähemalt 85% omafinantseering 15% maksimaalsest toetusmäärast, kuid Harjumaal on toetuse maksimaalne osakaal 10%, mis tähendab vähemalt 90% omafinantseeringut.",,,
"Staatus on EISi lehe põhjal „avatud“, kuid määruse järgi võib taotlemine olla jooksev või voorupõhine ning vastuvõtmist saab lõpetada või peatada eelarve jäägi tõttu.",,,
Võimalikud lisalingid kontrollimiseks,,,
"Täiendavaid lisalinke ei paku, sest kasutaja antud EISi leht ja Riigi Teataja määrus katavad põhilised tabeliväljad.",,,
