Väli,Soovitatud väärtus,Kindlus,Põhjendus
Projekti tüüp,tootearendus; prototüüpimine; testimine; sertifitseerimine,kõrge,"Abikõlblikud teenused hõlmavad teadusuuringu, teadmiste ja informatsiooni hankimist, intellektuaalomandi omandamist, nõustamist, projekteerimist, insenertehnilisi lahendusi, prototüübi valmistamist ning katseid ja teste; kasutaja lisainfo täpsustab ka testimise ja sertifitseerimise. (Riigi Teataja)"
AI nõue,sobib,keskmine,"AI ei ole allikates kohustusliku nõudena nimetatud, kuid AI-projekt võib sobida, kui see on uue või oluliselt muudetud toote või teenuse arendus ning panustab TAIE fookusvaldkonda."
T&A nõue,sobib,keskmine,"Meede on tootearenduse toetus ning abikõlblikud on arenduseks vajalikud uuringud ja arendustegevusega seotud teenused, kuid allikas ei sõnasta eraldi, et iga projekt peab olema teadus- ja arendusprojekt kitsas tähenduses. (Riigi Teataja)"
Arengufaas,prototüüp; piloot; turuleviimine,keskmine,"Allikas ei anna TRL-vahemikku, kuid tegevused nagu projekteerimine, prototüüpimine, katsed, testimine ja sertifitseerimine viitavad tootearenduse hilisematele arendus- ja turuleviimiseelsetele faasidele. (Riigi Teataja)"
Partneri nõue,ei,keskmine,"Allikad ei sätesta konsortsiumi ega partneri kohustuslikkust; teenuseid võib osta taotlejast sõltumatult isikult turutingimustel, kuid see on kulu liik, mitte partnerinõue. (Riigi Teataja)"
Ülikoolipartner,sobiv,keskmine,"Ülikool või teadusasutus võib olla sobiv teenuseosutaja näiteks uuringute või teadmiste hankimisel, kuid allikad ei nõua ülikoolipartnerit. (Riigi Teataja)"
Välistavad tingimused,"• ettevõte ei ole Eesti äriregistrisse kantud äriühing• kahe viimase majandusaasta keskmine müügitulu alla 200 000 €• projekt ei panusta TAIE fookusvaldkonda• projekt ei panusta Eesti 2035 horisontaalsesse näitajasse• tegevustega või kohustustega on alustatud enne taotluse esitamist• projekti periood üle 36 kuu ilma põhjendatud pikenduseta• projekti tegevused ei lõpe hiljemalt 31.08.2029• taotletav toetus alla 25 000 € või üle 500 000 €• sundlõpetamis-, likvideerimis- või pankrotimenetlus taotleja üle valitsevat mõju omava isiku suhtes• tegevusala: põllumajandus• tegevusala: metsamajandus• tegevusala: vesiviljelus• tegevusala: vahendustegevus• tegevusala: hulgi- ja jaekaubandus• tegevusala: kinnisvara• tegevusala: tubakatoodete tootmine või tubakaga seotud tegevus• tegevusala: hasartmängud• tegevusala: finants- ja kindlustustegevus• tegevusala: juriidilised toimingud• tegevusala: peakontorite tegevus• tegevusala: reklaam• tegevusala: turu-uuringud• tegevusala: rentimine• tegevusala: tööjõurent• tegevusala: kivi- ja pruunsöe kaevandamine• tegevusala: nafta ja maagaasi tootmine ning seda abistavad tegevused• fossiilkütuste kasutuse pikendamine• käibemaks• puhkusetasud ja preemiad• erisoodustused• lähetuskulud• eeluuringud• turu- ja konkurentsiuuringud• turundustegevused• intellektuaalomandi kaitsmine• olemasolevate materjalide kasutamise kulu• seadmete soetamine• olemasolevate seadmete kasutamiskulu• kulu, mis ei ole projektiga seotud või on põhjendamatu",kõrge,"Välistavad tingimused tuginevad EISi ja määruse taotleja, projekti, toetuse suuruse, projekti perioodi ja abikõlblikkuse nõuetele ning kasutaja lisatud kulude ja infopäeva slaidide täpsustustele. (EIS)"
Kontrollkohad,"• kontrolli meetme staatust ja eelarvejääki• kontrolli Eesti äriregistri staatust• kontrolli kahe viimase majandusaasta keskmist müügitulu• kontrolli ettevõtte suurust: väike, keskmine või suur• kontrolli toetuse määra: 45%, 35% või 25%• kontrolli TAIE fookusvaldkonna sobivust• kontrolli Eesti 2035 horisontaalse näitaja panust• kontrolli soolise mõõtme vajadust• kontrolli riskirühmadele suunatud mõju• kontrolli ligipääsetavuse nõudeid• kontrolli tegevuste toimumist väljaspool Harjumaad• kontrolli ressursitootlikkuse seost projektiga• kontrolli kasvuhoonegaaside netoheite mõju• kontrolli eelnõustamise läbimist• kontrolli projekti alguskuupäeva ja kohustuste võtmist• kontrolli projekti perioodi kuni 36 kuud• kontrolli lõpptähtaega 31.08.2029• kontrolli abikõlblikke ja mitteabikõlblikke kulusid• kontrolli seotud isikute tehingute puudumist• kontrolli hinnapakkumiste ja ostumenetluse nõudeid• kontrolli projekti hindamiskriteeriumide lävendeid",kõrge,"Kontrollkohad tulenevad EISi eelnõustamise, taotleja, TAIE, Eesti 2035, ostumenetluse ja hindamise nõuetest ning määruse abikõlblikkuse perioodi, toetuse suuruse ja kulude sätetest. (EIS)"
,,,
2) Ebaselged või kontrollimist vajavad kohad,,,
"Välistatud tegevusalad: Riigi Teataja määruse avatud tekstis ei tulnud eraldi välistatud tegevusalade loetelu nähtavale, kuid see on infopäeva PDFis toodud. Enne lõplikku tabelisse kandmist tasub kontrollida, kas EISi kehtivas rakendusinfos on välistuste loetelu sama.",,,
"T&A nõue: meede toetab tootearendust ning arenduseks vajalikke uuringuid ja teenuseid, kuid mitte iga projekt ei pruugi olla T&A projekt kitsas tähenduses. Seetõttu on väärtus „sobib”, mitte „nõutav”.",,,
"AI nõue: AI ei ole nõutav; väärtus „sobib” kehtib ainult juhul, kui AI-lahendus on osa TAIE fookusvaldkonda panustavast tootearendusest.",,,
"Partneri nõue: partner või konsortsium ei ole nõutav, kuid teenuseid saab osta taotlejast sõltumatult isikult. Teenusepakkuja vajadus sõltub projekti kulustruktuurist.",,,
"Ülikoolipartner: ülikool või teadusasutus võib olla teenuseosutaja või teadmiste allikas, kuid ei ole nõutud partner.",,,
"Eesti 2035 panus: kasutaja lisainfo järgi võib panus olla seotud soolise võrdõiguslikkuse, hoolivuse ja koostöömeelsuse, ligipääsetavuse, väljaspool Harjumaad toimuva tegevuse, ressursitootlikkuse või kasvuhoonegaaside netoheite vähendamisega. Konkreetne panus sõltub projektist.",,,
3) Võimalikud lisalingid kontrollimiseks,,,
"https://eis.ee/teenused/tootearenduse-toetus/ — kasutaja antud EISi link; vajalik staatuse, eelnõustamise, taotlusdokumentide, toetuse määra ja praktiliste nõuete kontrolliks.",,,
"https://www.riigiteataja.ee/akt/108032023014?leiaKehtiv — kasutaja antud määruse link; vajalik taotleja nõuete, toetuse summa, projekti perioodi, abikõlblike kulude ja hindamise tingimuste kontrolliks.",,,
"Üles laetud Tootearenduse toetus_2023-05-23.pdf — kasutaja antud infopäeva materjal; kasulik välistatud tegevusalade, kulureeglite, eelnõustamise ja hindamiskriteeriumide kontrollimiseks.",,,
