Väli,Soovitatud väärtus,Kindlus,Põhjendus
Ülikoolipartner,sobiv,keskmine,"Teadus- ja arendusasutus võib olla partner ning määruse eesmärkide hulgas on ettevõtjate ja teadus- ja arendusasutuste teadmussiirde edendamine, kuid ülikoolipartner ei ole kõigile projektidele kohustuslik. (Riigi Teataja)"
Välistavad tingimused,"ettevõte ei ole Eesti äriregistris; ettevõte on raskustes; eelnõustamine läbimata; eelhindamine läbimata; projekt ei vasta TAIE fookusvaldkonnale; TRL ei ole 3–7; projektiga on alustatud enne taotluse esitamist; taotletav toetus alla 250 000 € või üle 2 000 000 €; maksu- või maksevõlg üle 100 € ja ajatamata; majandusaasta aruanded või maksudeklaratsioonid esitamata; tagasimaksmisele kuuluv varasem toetus tasumata; likvideerimis-, sundlõpetamis- või pankrotimenetlus; kehtiv karistus määruses nimetatud süütegude alusel; käibemaks; seotud isikute vaheline tehing; projekti partnerite vaheline tehing",kõrge,"Välistused tulenevad EISi lehe eelnõustamise, TRL- ja taotlussumma tingimustest ning määruse taotleja, partneri ja kulude abikõlblikkuse nõuetest. Eraldi EMTAK-põhiseid välistatud tegevusalasid antud allikatest ei ilmne. (EIS)"
Kontrollkohad,"• kontrolli taotlusvooru staatust ja tähtaegu• kontrolli eelnõustamise läbimist• kontrolli eelhindamise läbimist• kontrolli TAIE fookusvaldkonna sobivust• kontrolli TRL 3–7 sobivust• kontrolli, kas projekt on rakendusuuring või tootearendus• kontrolli toetuse määra ettevõtte suuruse ja tegevuse liigi järgi• kontrolli tõhusa koostöö mõju toetuse määrale• kontrolli partneri sobivust• kontrolli ettevõtte raskustes olemist• kontrolli maksu- ja maksevõlga• kontrolli aruannete ja deklaratsioonide esitamist• kontrolli, et projektiga ei ole alustatud enne taotluse esitamist• kontrolli abikõlblikke kulusid• kontrolli 36 kuu projekti perioodi",kõrge,"Kontrollkohad on seotud voorupõhise taotlemise, eelnõustamise, eelhindamise, projekti sisulise sobivuse, toetuse määra, partnerite ja abikõlblikkuse nõuetega. (EIS)"
,,,
2) Ebaselged või kontrollimist vajavad kohad,,,
"Staatus: EISi lehe üldplokis on „Avatud”, kuid taotluseid hetkel esitada ei saa. Sisuliselt on eelnõustamine avatud, kuid taotlusvoor ise on tulemas.",,,
Sektor: allikas ei too välja sektoripõhist sihtrühma ega EMTAK-välistusi; projekt peab siiski sobituma TAIE fookusvaldkonda.,,,
"Omafinantseering: üldväärtus 20–75% on õige, kuid konkreetne määr sõltub tegevuse liigist, ettevõtte suurusest ja tõhusa koostöö olemasolust.",,,
"Partneri nõue: partner ei ole üldjuhul kohustuslik, kuid võib olla sisuliselt oluline ning mõjutada toetuse määra.",,,
"Ülikoolipartner: sobib partneriks, kuid ei ole allikate põhjal kohustuslik.",,,
"Välistatud tegevusalad: antud allikatest ei ilmne eraldi välistatud tegevusalade loetelu; välistused on seotud eelkõige riigiabi, abikõlblikkuse, TAIE/TRL-sobivuse ja taotleja nõuetega.",,,
3) Võimalikud lisalingid kontrollimiseks,,,
"https://eis.ee/teenused/rakendusuuringute-programm/ — kasutaja antud EISi link; vajalik vooru staatuse, eelnõustamise, eelhindamise, taotlusdokumentide ja praktiliste tähtaegade kontrolliks.",,,
"https://www.riigiteataja.ee/akt/109092025002?leiaKehtiv — kasutaja varem antud määruse link; vajalik toetatavate tegevuste, abikõlblike kulude, toetuse määrade, taotleja ja partneri nõuete ning projekti perioodi kontrolliks.",,,
