Väli,Soovitatud väärtus,Kindlus,Põhjendus
Projekti tüüp,digitaliseerimine; arendustegevus; nõustamine; AI kasutuselevõtt,keskmine,"Põhitegevused on nõustamisteenus ja arendustegevus. AI kasutuselevõtt sobib, sest tehisintellekt on määruses loetletud digitaalse tehnoloogia / CPS rakendusena, kuid AI ei ole kohustuslik. (Riigi Teataja)"
AI nõue,sobib,keskmine,"Tehisintellekt on määruses nimetatud ühe digitaalse tehnoloogia ja CPS rakendusena, kuid § 7 lg 3 ei sea AI kasutamist kohustuslikuks. (Riigi Teataja)"
T&A nõue,sobib,keskmine,Toetus hõlmab arendustegevust ning § 3 lg 2 p 2 järgi on § 7 lg 1 p 2 tegevuse toetus protsessi- ja organisatsiooniinnovatsiooniks antav abi või VTA. Klassikalist T&A kohustust määrus siiski otseselt ei sätesta. (Riigi Teataja)
Arengufaas,juurutamine; piloot; skaleerimine,keskmine,"Määrus ütleb, et arendustegevus viiakse ellu digitaliseerimise, automatiseerimise ja küberturvalisuse rakenduste juurutamiseks. Piloot ja skaleerimine on tõlgenduslikud võimalikud faasid, kui need tulenevad teekaardis kirjeldatud rakenduste elluviimisest. (Riigi Teataja)"
Partneri nõue,teenusepakkuja vajalik,kõrge,§ 8 lg 3 järgi on abikõlblikud ettevõtjavälise teenuseosutaja nõustamisteenuse kulud ja välistest allikatest turutingimustel ostetud teadmiste kulud; § 12 nõuab hinnapakkumusi ettevõtjavälise teenuseosutaja mõistele vastavatelt äriühingutelt. (Riigi Teataja)
Ülikoolipartner,ei ole vajalik,keskmine,"Määrus ei nõua ülikooli ega teadusasutuse kaasamist. Abikõlblikud võivad olla välistest allikatest ostetud teadmised, kuid määrus ei tõsta ülikoolipartnerit eraldi esile. (Riigi Teataja)"
Välistavad tingimused,"• ettevõte ei ole Eesti äriregistrisse kantud äriühing; • kahe eelneva majandusaasta põhitegevuse keskmine müügitulu alla 200 000 euro; • tegevus ei ole seotud digitaliseerimise teekaardis esitatud kitsaskohtade või arenguvõimalustega; • tegevus ei kuulu digitaliseerimise, automatiseerimise või küberturvalisuse rakenduste juurutamise alla; • protsess ja lõpptulemus ei ole dokumenteeritud; • projektiga on alustatud enne taotluse esitamist; • VTA piirmäär 300 000 eurot ületatud; • raskustes ettevõtja üldise grupierandi alusel; • Euroopa Komisjoni tagasimaksekorraldus täitmata; • välistatud EMTAK tegevusala; • kulu on käibemaks või tarkvaralitsentsi ostukulu; • projekt ei vasta „ei kahjusta oluliselt” põhimõttele; • nõutud hinnapakkumus või hinnapakkumused puuduvad",kõrge,"Välistused tulenevad määruse reguleerimisalast, riigiabi piirangutest, § 7 tegevusnõuetest, § 8 abikõlblikest ja abikõlbmatutest kuludest, § 9 projekti alustamise piirangust ning § 11–12 taotleja ja taotluse nõuetest. (Riigi Teataja)"
Kontrollkohad,"• kontrolli, kas taotlejal on asjakohane digitaliseerimise teekaart; • kontrolli, kas tegevus vastab § 7 lg 1 p 2 sisule; • kontrolli, kas projekt lahendab teekaardis esitatud kitsaskohti või viib ellu arenguvõimalusi; • kontrolli EMTAK välistusi; • kontrolli müügitulu nõuet vähemalt 200 000 eurot; • kontrolli VTA jääki ja riigiabi liiki; • kontrolli, kas taotleja on VKE või suurettevõtja; • kontrolli, kas taotleja asukoht annab õiguse 70% toetuse määrale; • kontrolli hinnapakkumuste arvu: alla 20 000 euro üks, vähemalt 20 000 eurot kaks võrreldavat pakkumust; • kontrolli ettevõtjavälise teenuseosutaja ja nõustaja seost taotlejaga; • kontrolli projektimeeskonna varasemate tööde nõuet; • kontrolli projekti abikõlblikkuse perioodi; • kontrolli, et tegevustega ei alustata enne taotluse esitamist; • kontrolli hindamise miinimumnõudeid: koondhinne vähemalt 2,50 ja ükski kriteerium alla 2,00; • kontrolli eelarve vaba jääki ja taotluste vastuvõtu tegelikku seisu rakendusüksuse veebilehelt",kõrge,"Need on tingimused, mis sõltuvad taotlejast, projektist, hinnapakkumustest, riigiabi liigist, eelarve seisust või hindamise tulemusest. (Riigi Teataja)"
,,,
2. Ebaselged või kontrollimist vajavad kohad,,,
"• Kogu toetussumma jääb määruse põhjal määramata, sest määrus ütleb, et rahastamise eelarvest annab teada rakendusüksus oma veebilehel, kuid summat määruses ei esitata.",,,
"• Staatus on määruse põhjal „jooksvalt avatud” tüüpi meede, kuid tegelik avatus, peatamine või sulgemine tuleb kontrollida rakendusüksuse veebilehelt.",,,
"• Arengufaas on osaliselt tõlgenduslik. Määrus kasutab selget sõna „juurutamiseks”, kuid ei kasuta faase nagu piloot, prototüüp või skaleerimine.",,,
"• AI nõue ei ole kohustuslik. AI sobib ainult juhul, kui see on seotud digitaliseerimise teekaardis toodud kitsaskoha või arenguvõimaluse ning digitaliseerimise/automatiseerimise/küberturvalisuse rakendusega.",,,
"• Ülikoolipartner ei ole määruses nõutud ega eraldi esile tõstetud; seetõttu on tabelisse sobivam märkida „ei ole vajalik”, mitte „sobiv” või „soovitatav”.",,,
,,,
3. Võimalikud lisalingid kontrollimiseks,,,
"• Rakendusüksuse ehk EISi konkreetse meetme leht – aitaks kontrollida tegelikku staatust, eelarve vaba jääki, taotlusvorme, hindamismetoodikat ja võimalikke praktilisi täpsustusi, mida määrus suunab rakendusüksuse veebilehele kontrollima.",,,
