Väli,Soovitatud väärtus,Kindlus,Põhjendus
Kontrollkohad,"• kontrolli eelnõustamise läbimist;• kontrolli arenguplaani heakskiitu EISi poolt;• kontrolli TAIE/nutika spetsialiseerumise fookusvaldkonna sobivust;• kontrolli kolmikpöörde panust: innovatsioon, digitaliseerimine või kestlik areng;• kontrolli Eesti 2035 aluspõhimõtete panust;• kontrolli ettevõtte töötajate arvu, tegutsemisaega, ekspordikäivet ja/või müügitulu kasvu;• kontrolli ettevõtte suurusest sõltuvat toetuse määra;• kontrolli seadmete/immateriaalse vara tegevuse eraldi 200 000 € ülempiiri;• kontrolli abikõlblikke kulusid ja tegevuste alguskuupäeva;• kontrolli eelarve vaba jääki ja taotluste vastuvõtu võimalikku peatamist;• kontrolli DNSH ehk „ei kahjusta oluliselt” vastavust;• kontrolli projekti kestust ja lõpptähtaega",kõrge,"Tingimused on kas ajas muutuvad, projekti- või ettevõttepõhised või sõltuvad EISi heakskiidust ja taotluse sisust. (EIS)"
,,,
Ebaselged või kontrollimist vajavad kohad,,,
"Ettevõtte suurus: väärtuseks sobib „kõik”, kuid praktiliselt välistab meede alla 8 töötajaga ettevõtted; mikroettevõtja võib teoreetiliselt kvalifitseeruda ainult juhul, kui 8 töötaja nõue on täidetud.",,,
"AI nõue: AI ei ole meetmes nimetatud, kuid digilahenduste ja digitaliseerimise fookuse tõttu on väärtus „sobib” põhjendatud, mitte „nõutav”.",,,
"T&A nõue: rakendusuuring ja tootearendus on toetatavad, kuid meede ei piirdu ainult T&A projektidega; seetõttu „sobib”, mitte „nõutav”.",,,
"Partneri nõue: kohustuslikku partnerit ei nähtu, kuid paljude tegevuste puhul võib teenusepakkuja kasutamine olla sisuliselt vajalik.",,,
"Omafinantseering: tabelisse võib panna üldväärtuse „vähemalt 55%”, kuid konkreetse taotleja puhul tuleb kontrollida suurusklassi, sest toetuse määr on väikeettevõtjal kuni 45%, keskmisel kuni 35% ja suurettevõtjal kuni 25%.",,,
"Staatus ja eelarve jääk: EISi lehe järgi on meede avatud, kuid määrus lubab vastuvõtu peatada, kui menetluses olevate taotluste summa jõuab vaba eelarvejäägini.",,,
Võimalikud lisalingid kontrollimiseks,,,
"Kasutaja antud põhiallikatest piisab tabeli täitmiseks. Lisakontrolliks võivad olla vajalikud ainult EISi lehel viidatud taotlusdokumendid, eriti projektiplaani koostamise juhend, arenguplaani tegevuskava ja eelarve, valikumetoodika ning DNSH teabeleht, kui soovid hiljem täpsustada abikõlblikke kulusid, hindamiskriteeriume või kontrollkohtade sõnastust.",,,
