Väli,Soovitatud väärtus,Kindlus,Põhjendus
Valdkond,TAIE fookusvaldkonnad; innovatsioon; tootearendus,kõrge,"Projekt peab panustama vähemalt ühte nutika spetsialiseerumise ehk TAIE fookusvaldkonda ning eesmärk on uuenduslike toodete, teenuste ja tehnoloogiate väljatöötamine. (Riigi Teataja)"
Projekti tüüp,tootearendus; prototüüpimine; testimine; teostatavusuuring; sertifitseerimine,kõrge,"Arendusosaku all toetatakse prototüübi valmistamist, tehnoloogilist arendust, testimist, demonstreerimist, tootekatsetust, tööstuslikku eksperimenti, teostatavusuuringut, sertifitseerimist jm. (EIS)"
AI nõue,sobib,keskmine,"AI ei ole nõutud ega eraldi nimetatud, kuid digilahendused on TAIE fookusvaldkond ning arendus-, testimis- ja prototüüpimistegevused võivad AI-projekte hõlmata. (Riigi Teataja)"
T&A nõue,sobib,keskmine,"Meede on seotud TAI, teadmussiirde ja arendusega, kuid mitte iga projekt ei pea olema rangelt T&A projekt; toetatavad on ka sertifitseerimine, metroloogia ja IP-alased tegevused. (Riigi Teataja)"
Arengufaas,kontseptsioon; prototüüp; piloot,kõrge,"Teostatavusuuring viitab kontseptsiooni faasile, prototüübi valmistamine prototüübi faasile ning testimine ja demonstreerimine piloodi faasile. (Riigi Teataja)"
Partneri nõue,teenusepakkuja vajalik,kõrge,Arendusosak on sihtotstarbeline toetus tegevuse hankimiseks innovatsiooniteenuse pakkujalt; EIS rõhutab koostööpartneri leidmist ja hinnapakkumisi. (Riigi Teataja)
Ülikoolipartner,sobiv,kõrge,"Teenuseosutajate hulgas on TA asutused, kõrgkoolid, rakenduskõrgkoolid ja ülikoolid, kuid ülikool ei ole ainus lubatud partner. (Riigi Teataja)"
Välistavad tingimused,"• mitte-VKE;• ettevõte ei ole Eesti äriregistris;• projekt ei panusta TAIE fookusvaldkonda;• projektiga on alustatud või kohustus võetud enne taotluse esitamist;• arendusosaku toetust on varem saadud kaks korda;• sama määruse alusel on juba üks projekt elluviimisel;• VTA piirmäär on ületatud;• projekt kuulub välistatud EMTAK tegevusalasse: põllumajandus, metsamajandus ja kalapüük; kala, koorikloomade ja molluskite töötlemine ja säilitamine; hulgi- ja jaekaubandus; kinnisvaraalane tegevus; tubakatoodete tootmine; hasartmängud ja kihlveod; juriidilised toimingud ja arvepidamine; peakontorite tegevus ja juhtimisalane nõustamine; reklaamindus, turu-uuringud ja suhtekorraldus; rentimine ja kasutusrent; tööjõurent ja muud tööjõuteenused; kivi- ja pruunsöe kaevandamine; toornafta ja maagaasi tootmine; nafta ja maagaasi tootmist abistavad tegevusalad; koksi ja puhastatud naftatoodete tootmine;• tegevus ei ole abikõlblik: tasemeõpe, täienduskoolitus või õppereis; ärimudeli loomine, muutmine või täiendamine; tootmiskorralduse, kvaliteedistandardi ja -juhtimise nõustamine; disainilahenduse väljatöötamine ja juurutamine; veebilehe või e-poe loomine; rutiinne tarkvaraarendus ja uuendamine; ettevõtte siseste protsesside või teenuste arendamine; kirjanduse või andmebaasi alusel teostatavusuuring; turu-uuring.",kõrge,"Tingimused tulenevad taotleja nõuetest, välistatud tegevusaladest, toetatavate ja mittetoetatavate tegevuste loetelust, VTA piirangust ning arendusosaku korduvtaotlemise piirangust. (Riigi Teataja)"
Kontrollkohad,"• kontrolli, kas projekt panustab vähemalt ühte TAIE fookusvaldkonda;• kontrolli VTA jääki;• kontrolli teenuseosutaja/AOT sobivust;• kontrolli, et enne taotluse esitamist ei ole teenusepakkujaga lepingut sõlmitud ega kohustusi võetud;• kontrolli, kas arendustöötaja vastab nõuetele ja ei ole välistatud seosega;• kontrolli, kas projekti kestus jääb 4–18 kuu vahemikku;• kontrolli, kas ostu puhul on vaja kahte võrreldavat hinnapakkumist või riigihangete registri ostumenetlust;• kontrolli arendusosaku hindamismetoodikat ja miinimumhindepunkte;• kontrolli jooksva taotlusvooru eelarve vaba jääki ja võimalikku peatamist.",kõrge,"Kontrollkohad on seotud TAIE nõude, VTA, AOT/teenuseosutaja nõuete, projekti kestuse, hinnapakkumiste, hindamise ja jooksva taotlemise peatamise võimalusega. (EIS)"
,,,
Ebaselged või kontrollimist vajavad kohad,,,
"AI nõue on tõlgenduslik: AI ei ole meetmes nõutud, kuid AI-arendus võib sobida, kui see on seotud TAIE fookusvaldkonna ja abikõlbliku arendustegevusega.",,,
"Sektor ei ole „kõik sektorid” puhtal kujul, sest määrus välistab mitu EMTAK tegevusala; tabelisse sobib lühiväärtus „kõik sektorid, v.a välistatud tegevusalad”.",,,
"Ülikoolipartner ei ole nõutav, vaid üks võimalik teenuseosutaja; seetõttu on parem väärtus „sobiv”, mitte „nõutav”.",,,
"Staatus ja kogu toetussumma tuleks enne lõplikku kasutamist üle kontrollida EISi lehelt, sest need võivad ajas muutuda; praegu EISi lehel on staatus „Avatud” ja kogu toetussumma 6 508 619 eurot.",,,
"Riigi Teataja määrus käsitleb koos innovatsiooni- ja arendusosakut; ülaltoodud väärtustes on kasutatud arendusosaku erisätteid: 35 000 eurot, 70% toetuse osakaal, kuni 18 kuud, projektiplaan, arendusosaku hindamismetoodika, AOT lisatingimused ning arendustöötaja ja materjalikulude erisused.",,,
